cohort_id,hypothesis_id,family_id,analysis_role,comparison_axis,target_context,reference_context,tissue_scope,population_scope,module_id,expected_direction,primary_scorer,discovery_claim_kind,discovery_artifact,eligibility_status,eligibility_reason
wells,wells_primary_spleen_ifn_i_output,wells_primary,primary,tissue,spleen,blood,spleen_and_blood,classical_monocyte,IFN_I_OUTPUT,1,scanpy,TS_confirmation,corrected_harmonized_reference_pending,pending,discovery_and_source_gates_pending
wells,wells_primary_spleen_inflammasome,wells_primary,primary,tissue,spleen,blood,spleen_and_blood,classical_monocyte,INFLAMMASOME,1,scanpy,TS_confirmation,corrected_harmonized_reference_pending,pending,discovery_and_source_gates_pending
wells,wells_primary_spleen_nasp_dna_sensing,wells_primary,primary,tissue,spleen,blood,spleen_and_blood,classical_monocyte,NASP_DNA_SENSING,-1,scanpy,TS_confirmation,corrected_harmonized_reference_pending,pending,discovery_and_source_gates_pending
wells,wells_primary_spleen_nasp_rna_sensing,wells_primary,primary,tissue,spleen,blood,spleen_and_blood,classical_monocyte,NASP_RNA_SENSING,-1,scanpy,TS_confirmation,corrected_harmonized_reference_pending,pending,discovery_and_source_gates_pending
wells,wells_extension_spleen_ifn_i_output,wells_extension,extension,tissue,spleen,blood,spleen_and_blood,nonclassical_monocyte,IFN_I_OUTPUT,0,scanpy,new_association,not_applicable,pending,measurement_and_support_pending
wells,wells_extension_spleen_inflammasome,wells_extension,extension,tissue,spleen,blood,spleen_and_blood,nonclassical_monocyte,INFLAMMASOME,0,scanpy,new_association,not_applicable,pending,measurement_and_support_pending
wells,wells_extension_spleen_nasp_dna_sensing,wells_extension,extension,tissue,spleen,blood,spleen_and_blood,nonclassical_monocyte,NASP_DNA_SENSING,0,scanpy,new_association,not_applicable,pending,measurement_and_support_pending
wells,wells_extension_spleen_nasp_rna_sensing,wells_extension,extension,tissue,spleen,blood,spleen_and_blood,nonclassical_monocyte,NASP_RNA_SENSING,0,scanpy,new_association,not_applicable,pending,measurement_and_support_pending
muscle,muscle_primary_vascular_endothelium_nasp_dna_sensing,muscle_primary,primary,population,vascular_endothelium,CD4_T,muscle,vascular_and_CD4,NASP_DNA_SENSING,1,scanpy,TS_confirmation,corrected_harmonized_reference_pending,pending,discovery_and_source_gates_pending
muscle,muscle_primary_vascular_endothelium_nasp_rna_sensing,muscle_primary,primary,population,vascular_endothelium,CD4_T,muscle,vascular_and_CD4,NASP_RNA_SENSING,1,scanpy,TS_confirmation,corrected_harmonized_reference_pending,pending,discovery_and_source_gates_pending
