collection_name	dataset_id	n_cells	n_donors	n_cell_types	assays	tissues	diseases	sexes	age_terms	suspension_types	collection_id	dataset_total_cell_count	dataset_h5ad_path
Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution	37a17b78-4864-4a42-b67b-31c00962795a	4097132	1032	25	10x 3' v3	dorsolateral prefrontal cortex	Lewy body dementia, Parkinson disease, amyotrophic lateral sclerosis, dementia, dementia || Alzheimer disease, dementia || Alzheimer disease || Lewy body dementia, dementia || Alzheimer disease || Parkinson disease, dementia || Alzheimer disease || amyotrophic lateral sclerosis, dementia || Alzheimer disease || frontotemporal dementia, dementia || Alzheimer disease || normal pressure hydrocephalus, dementia || Alzheimer disease || schizophrenia, dementia || Alzheimer disease || schizophrenia || Lewy body dementia, dementia || Lewy body dementia, dementia || Parkinson disease, dementia || Parkinson disease || progressive supranuclear palsy, dementia || amyotrophic lateral sclerosis, dementia || frontotemporal dementia, dementia || head injury, dementia || major depressive disorder || Alzheimer disease || Lewy body dementia, dementia || multiple sclerosis, dementia || normal pressure hydrocephalus, dementia || post-traumatic stress disorder, dementia || progressive supranuclear palsy, dementia || schizophrenia, dementia || schizophrenia || Parkinson disease, dementia || schizophrenia || head injury, dementia || tauopathy, dementia || vascular dementia, dementia || vascular dementia || Alzheimer disease, dementia || vascular dementia || Alzheimer disease || schizophrenia, dementia || vascular dementia || head injury, dementia || vascular dementia || schizophrenia, dementia || vascular dementia || tauopathy, frontotemporal dementia, head injury, major depressive disorder || tauopathy, normal, normal pressure hydrocephalus, schizophrenia, tauopathy, vascular dementia, vascular dementia || Lewy body dementia, vascular dementia || progressive supranuclear palsy	male & female	19yo-89yo, 19-year-old stage (3516), 20-year-old stage (2408), 24-year-old stage (1753), 27-year-old stage (3069), 28-year-old stage (6291), 31-year-old stage (3873), 32-year-old stage (2597), 35-year-old stage (10036), 36-year-old stage (13913), 38-year-old stage (12537), 39-year-old stage (6545), 40-year-old stage (7180), 41-year-old stage (19774), 42-year-old stage (17087), 43-year-old stage (8092), 45-year-old stage (11216), 46-year-old stage (3881), 47-year-old stage (3786), 48-year-old stage (7644), 49-year-old stage (25547), 50-year-old stage (7078), 51-year-old stage (12210), 52-year-old stage (21882), 53-year-old stage (28866), 54-year-old stage (20567), 55-year-old stage (20333), 56-year-old stage (16924), 57-year-old stage (19401), 58-year-old stage (26817), 59-year-old stage (42323), 60-year-old stage (53725), 61-year-old stage (24809), 62-year-old stage (34369), 63-year-old stage (48548), 64-year-old stage (60690), 65-year-old stage (42467), 66-year-old stage (47150), 67-year-old stage (35142), 68-year-old stage (43612), 69-year-old stage (67273), 70-year-old stage (50657), 71-year-old stage (70025), 72-year-old stage (58822), 73-year-old stage (119891), 74-year-old stage (90046), 75-year-old stage (63385), 76-year-old stage (111022), 77-year-old stage (88071), 78-year-old stage (80951), 79-year-old stage (103277), 80 year-old and over stage (1078738), 80-year-old stage (91607), 81-year-old stage (97068), 82-year-old stage (108248), 83-year-old stage (140899), 84-year-old stage (201603), 85-year-old stage (152857), 86-year-old stage (162231), 87-year-old stage (102362), 88-year-old stage (133376), 89-year-old stage (147065)	nucleus	84ce6837-548d-4a1f-919f-0bc0d9a3952f	4140453	37a17b78-4864-4a42-b67b-31c00962795a.h5ad
A human cell atlas of fetal gene expression	f7c1c579-2dc0-47e2-ba19-8165c5a0e353	1789420	24	47	sci-RNA-seq3	cerebellum, heart, intestine, kidney, liver, lung, pancreas, stomach	normal	male & female	prenatal-prenatal, 10th week post-fertilization stage (44904), 12th week post-fertilization stage (241296), 13th week post-fertilization stage (173341), 14th week post-fertilization stage (37004), 15th week post-fertilization stage (462339), 16th week post-fertilization stage (332168), 17th week post-fertilization stage (498368)	cell, nucleus	c114c20f-1ef4-49a5-9c2e-d965787fb90c	4062980	f7c1c579-2dc0-47e2-ba19-8165c5a0e353.h5ad
A multi-region single nucleus transcriptomic atlas of Parkinson’s disease	d3cb449b-c2b1-4b50-a7f1-21203535fe61	1406626	97	11	10x 3' v3	prefrontal cortex, primary motor cortex, primary visual cortex	Parkinson disease, normal	male & female	57yo-102yo, 57-year-old stage (6939), 62-year-old stage (14725), 64-year-old stage (15416), 65-year-old stage (14906), 66-year-old stage (26409), 67-year-old stage (53623), 68-year-old stage (27094), 69-year-old stage (14044), 70-year-old stage (23982), 71-year-old stage (12875), 72-year-old stage (75691), 73-year-old stage (27583), 74-year-old stage (35579), 75-year-old stage (93495), 76-year-old stage (50470), 77-year-old stage (67855), 78-year-old stage (63640), 79-year-old stage (79706), 80-year-old stage (73393), 81-year-old stage (122444), 82-year-old stage (70647), 83-year-old stage (44943), 84-year-old stage (48195), 85-year-old stage (67327), 86-year-old stage (37911), 87-year-old stage (33294), 88-year-old stage (36302), 89-year-old stage (23646), 91-year-old stage (60309), 95-year-old stage (20597), 97-year-old stage (15813), 101-year-old stage (25844), 102-year-old stage (21929)	nucleus	d5d0df8f-4eee-49d8-a221-a288f50a1590	2096155	d3cb449b-c2b1-4b50-a7f1-21203535fe61.h5ad
SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas	6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3	1395601	83	18	10x 3' v3, 10x multiome	dorsolateral prefrontal cortex	dementia, normal	male & female	29yo-89yo, 29-year-old stage (32878), 42-year-old stage (29072), 50-year-old stage (28629), 68-year-old stage (13625), 69-year-old stage (25251), 70-year-old stage (21577), 72-year-old stage (13020), 75-year-old stage (35933), 77-year-old stage (11967), 78-year-old stage (31101), 80 year-old and over stage (726161), 80-year-old stage (30096), 81-year-old stage (50579), 82-year-old stage (56601), 83-year-old stage (48805), 84-year-old stage (26504), 85-year-old stage (14826), 86-year-old stage (51552), 87-year-old stage (36776), 88-year-old stage (65348), 89-year-old stage (45300)	nucleus	1ca90a2d-2943-483d-b678-b809bf464c30	1395601	6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3.h5ad
Comprehensive cell atlas of the first-trimester developing human brain	13149914-ea03-4f01-8bf6-b793b667127b	1321728	25	12	10x 3' v2, 10x 3' v3	basal forebrain, brain, cerebellum, cerebral subcortex, cortex, dorsal plus ventral thalamus, entorhinal cortex, forebrain, frontal cortex, hindbrain, hypothalamus, lower layers of the cortex, midbrain, midbrain tectum, occipital cortex, striatum, upper layers of the cortex	normal	unknown	prenatal-prenatal, Carnegie stage 15 (55985), Carnegie stage 16 (59667), Carnegie stage 18 (85999), Carnegie stage 20 (433730), Carnegie stage 22 (38870), 9th week post-fertilization stage (236874), 10th week post-fertilization stage (84300), 11th week post-fertilization stage (88859), 12th week post-fertilization stage (85201), 13th week post-fertilization stage (76275), 14th week post-fertilization stage (21012), 15th week post-fertilization stage (54956)	cell	4d8fed08-2d6d-4692-b5ea-464f1d072077	1665937	13149914-ea03-4f01-8bf6-b793b667127b.h5ad
Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution	5c97eeeb-7e52-44b3-b010-b832b1f5424c	1220642	243	25	10x 3' v3	dorsolateral prefrontal cortex	atherosclerosis, atherosclerosis || tardive dyskinesia || schizoaffective bipolar disorder, bipolar I disorder || atherosclerosis, bipolar I disorder || type 1 diabetes mellitus, bipolar I disorder || type 2 diabetes mellitus, bipolar II disorder || type 1 diabetes mellitus, bipolar II disorder || type 2 diabetes mellitus, bipolar disorder || type 2 diabetes mellitus || schizoaffective bipolar disorder, diabetes mellitus || schizophrenia, epilepsy || schizophrenia, epilepsy || schizophrenia || tardive dyskinesia, major depressive disorder || schizophrenia || atherosclerosis, normal, schizophrenia, schizophrenia || atherosclerosis, schizophrenia || tardive dyskinesia, schizophrenia || type 1 diabetes mellitus, schizophrenia || type 1 diabetes mellitus || atherosclerosis, schizophrenia || type 1 diabetes mellitus || tardive dyskinesia, schizophrenia || type 2 diabetes mellitus, schizophrenia || type 2 diabetes mellitus || tardive dyskinesia, type 1 diabetes mellitus, type 1 diabetes mellitus || atherosclerosis, type 1 diabetes mellitus || schizoaffective depressive disorder, type 2 diabetes mellitus, type 2 diabetes mellitus || atherosclerosis	male & female	1mo-85yo, 1-month-old stage (3324), 2-month-old stage (3140), 3-month-old stage (6202), 4-month-old stage (13254), 6-month-old stage (6337), 2-year-old stage (17437), 3-year-old stage (3232), 4-year-old stage (10674), 5-year-old stage (2408), 6-year-old stage (3319), 8-year-old stage (5345), 10-year-old stage (7638), 12-year-old stage (8235), 13-year-old stage (40552), 14-year-old stage (18765), 15-year-old stage (30563), 16-year-old stage (43815), 17-year-old stage (9362), 18-year-old stage (31385), 19-year-old stage (10426), 20-year-old stage (20013), 21-year-old stage (9891), 22-year-old stage (16886), 23-year-old stage (18639), 24-year-old stage (18543), 25-year-old stage (10278), 26-year-old stage (17677), 27-year-old stage (16981), 28-year-old stage (9084), 29-year-old stage (8795), 30-year-old stage (22994), 31-year-old stage (26214), 32-year-old stage (9921), 33-year-old stage (5882), 34-year-old stage (8222), 35-year-old stage (14280), 36-year-old stage (17428), 37-year-old stage (13624), 38-year-old stage (11452), 39-year-old stage (6037), 40-year-old stage (41309), 41-year-old stage (22472), 42-year-old stage (18067), 43-year-old stage (21065), 44-year-old stage (10933), 45-year-old stage (33110), 46-year-old stage (32107), 47-year-old stage (5944), 48-year-old stage (72114), 49-year-old stage (3482), 50-year-old stage (36439), 51-year-old stage (25851), 52-year-old stage (26847), 53-year-old stage (26860), 54-year-old stage (29302), 55-year-old stage (21496), 56-year-old stage (19650), 57-year-old stage (27550), 58-year-old stage (17422), 59-year-old stage (11289), 60-year-old stage (40224), 61-year-old stage (9849), 62-year-old stage (6363), 63-year-old stage (19742), 65-year-old stage (7561), 67-year-old stage (5808), 68-year-old stage (8140), 71-year-old stage (12942), 73-year-old stage (2973), 74-year-old stage (2493), 75-year-old stage (10937), 78-year-old stage (7309), 79-year-old stage (7272), 83-year-old stage (8340), 84-year-old stage (1313), 85-year-old stage (5916), unknown (1897)	nucleus	84ce6837-548d-4a1f-919f-0bc0d9a3952f	1486324	5c97eeeb-7e52-44b3-b010-b832b1f5424c.h5ad
An integrated transcriptomic cell atlas of human neural organoids	d7f5d8d0-6150-48d7-b094-c34286ad11a1	1078851	49	56	10x 3' v2, 10x 3' v3, 10x multiome, BD Rhapsody Whole Transcriptome Analysis, Drop-seq, Quartz-seq, SPLiT-seq, Smart-seq2	arcuate nucleus of hypothalamus, brain, cerebellum, cerebral cortex, dorsal plus ventral thalamus, hindbrain, midbrain tectum, midbrain tegmentum	normal	male & female, unknown	prenatal-63yo, blastula stage (161154), newborn stage (0-28 days) (6381), 4-year-old stage (6800), third decade stage (1441), 22-year-old stage (11529), 25-year-old stage (27874), 27-year-old stage (15946), 30-year-old stage (16763), fourth decade stage (105658), 36-year-old stage (119409), fifth decade stage (47041), 48-year-old stage (19612), sixth decade stage (26020), 58-year-old stage (205), seventh decade stage (83050), 63-year-old stage (29235), unknown (400733)	cell, nucleus	de379e5f-52d0-498c-9801-0f850823c847	1920454	d7f5d8d0-6150-48d7-b094-c34286ad11a1.h5ad
The integrated Human Lung Cell Atlas	9f222629-9e39-47d0-b83f-e08d610c7479	1026434	271	51	10x 3' v1, 10x 3' v2, 10x 3' v3, 10x 5' transcription profiling, 10x 5' v1, 10x 5' v2, Drop-seq, Seq-Well	lung, lung parenchyma	chronic obstructive pulmonary disease, cystic fibrosis, interstitial lung disease, normal, pulmonary fibrosis, pulmonary sarcoidosis	male & female, unknown	neonatal-81yo, newborn stage (0-28 days) (151), 1-month-old stage (1103), 3-month-old stage (988), 6-month-old stage (582), 12-month-old stage (3149), 2-year-old stage (5450), 3-year-old stage (526), 4-year-old stage (565), 7-year-old stage (6172), 12-year-old stage (192), 14-year-old stage (362), 15-year-old stage (197), 18-year-old stage (3272), 20-year-old stage (8329), 21-year-old stage (20427), 22-year-old stage (6796), 23-year-old stage (11710), 24-year-old stage (8153), 25-year-old stage (40957), 27-year-old stage (436), 29-year-old stage (11743), 30-year-old stage (13533), fourth decade stage (3771), 31-year-old stage (1208), 34-year-old stage (9134), 35-year-old stage (1296), 36-year-old stage (2542), 37-year-old stage (22734), 38-year-old stage (14401), 40-year-old stage (10865), fifth decade stage (3342), 41-year-old stage (7850), 42-year-old stage (1411), 43-year-old stage (7892), 45-year-old stage (6228), 47-year-old stage (8016), 49-year-old stage (14613), sixth decade stage (3127), 51-year-old stage (5138), 52-year-old stage (22416), 53-year-old stage (10003), 54-year-old stage (4061), 55-year-old stage (27842), 56-year-old stage (2217), 57-year-old stage (17058), 58-year-old stage (1605), 59-year-old stage (6512), 60-year-old stage (2133), seventh decade stage (1991), 62-year-old stage (15774), 63-year-old stage (7336), 64-year-old stage (17328), 65-year-old stage (2736), 67-year-old stage (12205), 69-year-old stage (4305), 71-year-old stage (3744), 72-year-old stage (5511), 73-year-old stage (5428), 75-year-old stage (302), 76-year-old stage (1182), 81-year-old stage (7808), unknown (578576)	cell, nucleus	6f6d381a-7701-4781-935c-db10d30de293	2282447	9f222629-9e39-47d0-b83f-e08d610c7479.h5ad
Integrated human endoderm-derived organoids cell atlas (HEOCA)	6725ee8e-ef5b-4e68-8901-61bd14a1fe73	694896	182	38	10x 3' v2, 10x 3' v3, 10x 5' v1, 10x multiome, CEL-seq2, SORT-seq, Seq-Well S3, Smart-seq	alveolar sac, biliary system, bronchus, colon, common bile duct, duodenum, gallbladder, ileum, intestine, intrahepatic bile duct, liver, lung, pancreas, stomach	normal	unknown	unknown, unknown (694896)	cell, nucleus	6282a908-f162-44a2-99a3-8a942e4271b2	806646	6725ee8e-ef5b-4e68-8901-61bd14a1fe73.h5ad
Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution	5e57cd50-8e42-42d6-940d-5c1660d06864	693682	152	25	10x 3' v3	dorsolateral prefrontal cortex	amyotrophic lateral sclerosis, dementia, dementia || Alzheimer disease, dementia || Alzheimer disease || Lewy body dementia, dementia || Alzheimer disease || Parkinson disease, dementia || Alzheimer disease || Parkinson disease || Lewy body dementia, dementia || Alzheimer disease || diabetes mellitus, dementia || Alzheimer disease || diabetes mellitus || Parkinson disease || head injury, dementia || Parkinson disease, dementia || Parkinson disease || Lewy body dementia || head injury, dementia || diabetes mellitus || Parkinson disease, dementia || frontotemporal dementia, dementia || tauopathy, dementia || vascular dementia, dementia || vascular dementia || Alzheimer disease, dementia || vascular dementia || Alzheimer disease || Parkinson disease, dementia || vascular dementia || Alzheimer disease || diabetes mellitus, dementia || vascular dementia || diabetes mellitus, diabetes mellitus, diabetes mellitus || head injury, head injury, normal, tauopathy, vascular dementia, vascular dementia || diabetes mellitus, vascular dementia || diabetes mellitus || Parkinson disease	male & female	54yo-89yo, 54-year-old stage (7103), 64-year-old stage (5906), 65-year-old stage (15796), 66-year-old stage (9044), 67-year-old stage (7711), 68-year-old stage (3984), 69-year-old stage (8469), 70-year-old stage (3906), 71-year-old stage (3997), 72-year-old stage (10524), 73-year-old stage (14824), 74-year-old stage (2530), 75-year-old stage (12273), 76-year-old stage (17549), 77-year-old stage (7474), 78-year-old stage (18117), 79-year-old stage (31359), 80 year-old and over stage (255740), 80-year-old stage (15762), 81-year-old stage (21033), 82-year-old stage (32365), 83-year-old stage (29768), 84-year-old stage (28029), 85-year-old stage (33394), 86-year-old stage (19663), 87-year-old stage (14728), 88-year-old stage (30474), 89-year-old stage (32160)	nucleus	84ce6837-548d-4a1f-919f-0bc0d9a3952f	693682	5e57cd50-8e42-42d6-940d-5c1660d06864.h5ad
