gene,tissue,tissue_abbrev,tissue_color,n_significant_eqtls,parquet_file,gene_total_eqtls
DHX36,Thyroid,THYROID,#ff9900,1251,/Users/sho3/eqtl/gtex_v11_qtls/Thyroid.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Esophagus_Muscularis,ESPMSL,#6aa84f,922,/Users/sho3/eqtl/gtex_v11_qtls/Esophagus_Muscularis.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Brain_Cerebellar_Hemisphere,BRNCHA,#b6d7a8,846,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Cerebellar_Hemisphere.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Spleen,SPLEEN,#cc4125,825,/Users/sho3/eqtl/gtex_v11_qtls/Spleen.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Nerve_Tibial,NERVET,#ffe599,821,/Users/sho3/eqtl/gtex_v11_qtls/Nerve_Tibial.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Brain_Cerebellum,BRNCHB,#274e13,776,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Cerebellum.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Colon_Sigmoid,CLNSGM,#b45f06,683,/Users/sho3/eqtl/gtex_v11_qtls/Colon_Sigmoid.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Colon_Transverse,CLNTRN,#e69138,642,/Users/sho3/eqtl/gtex_v11_qtls/Colon_Transverse.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Muscle_Skeletal,MSCLSK,#b7b7b7,635,/Users/sho3/eqtl/gtex_v11_qtls/Muscle_Skeletal.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Lung,LUNG,#6fa8dc,629,/Users/sho3/eqtl/gtex_v11_qtls/Lung.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Artery_Aorta,ARTAORT,#e06666,627,/Users/sho3/eqtl/gtex_v11_qtls/Artery_Aorta.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Adipose_Subcutaneous,ADPSBQ,#f1c232,621,/Users/sho3/eqtl/gtex_v11_qtls/Adipose_Subcutaneous.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Skin_Not_Sun_Exposed_Suprapubic,SKINNS,#ffd966,611,/Users/sho3/eqtl/gtex_v11_qtls/Skin_Not_Sun_Exposed_Suprapubic.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Pituitary,PITUTRY,#999999,580,/Users/sho3/eqtl/gtex_v11_qtls/Pituitary.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Esophagus_Gastroesophageal_Junction,ESPGEJ,#d9ead3,543,/Users/sho3/eqtl/gtex_v11_qtls/Esophagus_Gastroesophageal_Junction.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Adipose_Visceral_Omentum,ADPVSC,#f6b26b,528,/Users/sho3/eqtl/gtex_v11_qtls/Adipose_Visceral_Omentum.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Heart_Atrial_Appendage,HRTAA,#a64d79,519,/Users/sho3/eqtl/gtex_v11_qtls/Heart_Atrial_Appendage.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Pancreas,PNCREAS,#f9cb9c,509,/Users/sho3/eqtl/gtex_v11_qtls/Pancreas.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Heart_Left_Ventricle,HRTLV,#741b47,403,/Users/sho3/eqtl/gtex_v11_qtls/Heart_Left_Ventricle.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Breast_Mammary_Tissue,BREAST,#c27ba0,402,/Users/sho3/eqtl/gtex_v11_qtls/Breast_Mammary_Tissue.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Stomach,STMACH,#b45f06,376,/Users/sho3/eqtl/gtex_v11_qtls/Stomach.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Brain_Putamen_basal_ganglia,BRNPTM,#3d85c6,371,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Putamen_basal_ganglia.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Adrenal_Gland,ADREN,#8dd3c7,362,/Users/sho3/eqtl/gtex_v11_qtls/Adrenal_Gland.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Prostate,PRSTTE,#cfe2f3,359,/Users/sho3/eqtl/gtex_v11_qtls/Prostate.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Skin_Sun_Exposed_Lower_leg,SKINS,#f1c232,350,/Users/sho3/eqtl/gtex_v11_qtls/Skin_Sun_Exposed_Lower_leg.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Brain_Cortex,BRNCTXA,#a2c4c9,310,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Cortex.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Ovary,OVARY,#ff00ff,274,/Users/sho3/eqtl/gtex_v11_qtls/Ovary.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Small_Intestine_Terminal_Ileum,SNTRM,#ffff00,245,/Users/sho3/eqtl/gtex_v11_qtls/Small_Intestine_Terminal_Ileum.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Cells_Cultured_fibroblasts,FIBRBLS,#674ea7,217,/Users/sho3/eqtl/gtex_v11_qtls/Cells_Cultured_fibroblasts.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Whole_Blood,WHLBLD,#cc0000,214,/Users/sho3/eqtl/gtex_v11_qtls/Whole_Blood.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Artery_Tibial,ARTTBL,#f4cccc,207,/Users/sho3/eqtl/gtex_v11_qtls/Artery_Tibial.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Esophagus_Mucosa,ESPMCS,#93c47d,205,/Users/sho3/eqtl/gtex_v11_qtls/Esophagus_Mucosa.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Minor_Salivary_Gland,SLVRYG,#d5a6bd,176,/Users/sho3/eqtl/gtex_v11_qtls/Minor_Salivary_Gland.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Brain_Caudate_basal_ganglia,BRNCDT,#38761d,106,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Caudate_basal_ganglia.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Vagina,VAGINA,#ff66cc,99,/Users/sho3/eqtl/gtex_v11_qtls/Vagina.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Artery_Coronary,ARTCRN,#cc0000,98,/Users/sho3/eqtl/gtex_v11_qtls/Artery_Coronary.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Kidney_Cortex,KDNCTX,#00ffff,63,/Users/sho3/eqtl/gtex_v11_qtls/Kidney_Cortex.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Liver,LIVER,#783f04,54,/Users/sho3/eqtl/gtex_v11_qtls/Liver.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Bladder,BLDDER,#b4a7d6,53,/Users/sho3/eqtl/gtex_v11_qtls/Bladder.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Brain_Frontal_Cortex_BA9,BRNCTXB,#76a5af,34,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Frontal_Cortex_BA9.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Testis,TESTIS,#e06666,17,/Users/sho3/eqtl/gtex_v11_qtls/Testis.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Brain_Nucleus_accumbens_basal_ganglia,BRNACC,#0b5394,0,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Nucleus_accumbens_basal_ganglia.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Brain_Amygdala,BRNAMY,#93c47d,0,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Amygdala.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Brain_Anterior_cingulate_cortex_BA24,BRNCCC,#6aa84f,0,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Anterior_cingulate_cortex_BA24.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Brain_Hippocampus,BRNHPP,#134f5c,0,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Hippocampus.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Brain_Hypothalamus,BRNHPT,#45818e,0,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Hypothalamus.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Brain_Substantia_nigra,BRNSNG,#073763,0,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Substantia_nigra.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Brain_Spinal_cord_cervical_c-1,BRNSPC,#9fc5e8,0,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Spinal_cord_cervical_c-1.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Cells_EBV-transformed_lymphocytes,LCL,#351c75,0,/Users/sho3/eqtl/gtex_v11_qtls/Cells_EBV-transformed_lymphocytes.v11.eQTLs.signif_pairs.parquet,17563
DHX36,Uterus,UTERUS,#cc99ff,0,/Users/sho3/eqtl/gtex_v11_qtls/Uterus.v11.eQTLs.signif_pairs.parquet,17563
RPSA,Cells_Cultured_fibroblasts,FIBRBLS,#674ea7,598,/Users/sho3/eqtl/gtex_v11_qtls/Cells_Cultured_fibroblasts.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Skin_Sun_Exposed_Lower_leg,SKINS,#f1c232,590,/Users/sho3/eqtl/gtex_v11_qtls/Skin_Sun_Exposed_Lower_leg.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Muscle_Skeletal,MSCLSK,#b7b7b7,580,/Users/sho3/eqtl/gtex_v11_qtls/Muscle_Skeletal.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Nerve_Tibial,NERVET,#ffe599,555,/Users/sho3/eqtl/gtex_v11_qtls/Nerve_Tibial.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Lung,LUNG,#6fa8dc,527,/Users/sho3/eqtl/gtex_v11_qtls/Lung.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Esophagus_Mucosa,ESPMCS,#93c47d,523,/Users/sho3/eqtl/gtex_v11_qtls/Esophagus_Mucosa.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Adipose_Visceral_Omentum,ADPVSC,#f6b26b,518,/Users/sho3/eqtl/gtex_v11_qtls/Adipose_Visceral_Omentum.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Adipose_Subcutaneous,ADPSBQ,#f1c232,515,/Users/sho3/eqtl/gtex_v11_qtls/Adipose_Subcutaneous.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Artery_Tibial,ARTTBL,#f4cccc,501,/Users/sho3/eqtl/gtex_v11_qtls/Artery_Tibial.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Skin_Not_Sun_Exposed_Suprapubic,SKINNS,#ffd966,484,/Users/sho3/eqtl/gtex_v11_qtls/Skin_Not_Sun_Exposed_Suprapubic.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Testis,TESTIS,#e06666,472,/Users/sho3/eqtl/gtex_v11_qtls/Testis.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Thyroid,THYROID,#ff9900,460,/Users/sho3/eqtl/gtex_v11_qtls/Thyroid.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Artery_Aorta,ARTAORT,#e06666,454,/Users/sho3/eqtl/gtex_v11_qtls/Artery_Aorta.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Colon_Transverse,CLNTRN,#e69138,449,/Users/sho3/eqtl/gtex_v11_qtls/Colon_Transverse.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Whole_Blood,WHLBLD,#cc0000,447,/Users/sho3/eqtl/gtex_v11_qtls/Whole_Blood.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Pancreas,PNCREAS,#f9cb9c,421,/Users/sho3/eqtl/gtex_v11_qtls/Pancreas.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Stomach,STMACH,#b45f06,404,/Users/sho3/eqtl/gtex_v11_qtls/Stomach.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Cells_EBV-transformed_lymphocytes,LCL,#351c75,403,/Users/sho3/eqtl/gtex_v11_qtls/Cells_EBV-transformed_lymphocytes.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Breast_Mammary_Tissue,BREAST,#c27ba0,398,/Users/sho3/eqtl/gtex_v11_qtls/Breast_Mammary_Tissue.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Brain_Cerebellum,BRNCHB,#274e13,398,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Cerebellum.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Esophagus_Muscularis,ESPMSL,#6aa84f,390,/Users/sho3/eqtl/gtex_v11_qtls/Esophagus_Muscularis.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Pituitary,PITUTRY,#999999,369,/Users/sho3/eqtl/gtex_v11_qtls/Pituitary.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Esophagus_Gastroesophageal_Junction,ESPGEJ,#d9ead3,367,/Users/sho3/eqtl/gtex_v11_qtls/Esophagus_Gastroesophageal_Junction.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Brain_Spinal_cord_cervical_c-1,BRNSPC,#9fc5e8,360,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Spinal_cord_cervical_c-1.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Heart_Atrial_Appendage,HRTAA,#a64d79,355,/Users/sho3/eqtl/gtex_v11_qtls/Heart_Atrial_Appendage.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Adrenal_Gland,ADREN,#8dd3c7,352,/Users/sho3/eqtl/gtex_v11_qtls/Adrenal_Gland.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Liver,LIVER,#783f04,323,/Users/sho3/eqtl/gtex_v11_qtls/Liver.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Brain_Cerebellar_Hemisphere,BRNCHA,#b6d7a8,295,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Cerebellar_Hemisphere.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Spleen,SPLEEN,#cc4125,283,/Users/sho3/eqtl/gtex_v11_qtls/Spleen.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Heart_Left_Ventricle,HRTLV,#741b47,279,/Users/sho3/eqtl/gtex_v11_qtls/Heart_Left_Ventricle.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Colon_Sigmoid,CLNSGM,#b45f06,276,/Users/sho3/eqtl/gtex_v11_qtls/Colon_Sigmoid.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Brain_Cortex,BRNCTXA,#a2c4c9,274,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Cortex.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Artery_Coronary,ARTCRN,#cc0000,262,/Users/sho3/eqtl/gtex_v11_qtls/Artery_Coronary.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Minor_Salivary_Gland,SLVRYG,#d5a6bd,252,/Users/sho3/eqtl/gtex_v11_qtls/Minor_Salivary_Gland.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Brain_Caudate_basal_ganglia,BRNCDT,#38761d,225,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Caudate_basal_ganglia.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Brain_Hippocampus,BRNHPP,#134f5c,222,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Hippocampus.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Brain_Hypothalamus,BRNHPT,#45818e,205,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Hypothalamus.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Ovary,OVARY,#ff00ff,202,/Users/sho3/eqtl/gtex_v11_qtls/Ovary.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Brain_Frontal_Cortex_BA9,BRNCTXB,#76a5af,199,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Frontal_Cortex_BA9.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Small_Intestine_Terminal_Ileum,SNTRM,#ffff00,190,/Users/sho3/eqtl/gtex_v11_qtls/Small_Intestine_Terminal_Ileum.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Prostate,PRSTTE,#cfe2f3,189,/Users/sho3/eqtl/gtex_v11_qtls/Prostate.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Brain_Substantia_nigra,BRNSNG,#073763,185,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Substantia_nigra.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Uterus,UTERUS,#cc99ff,185,/Users/sho3/eqtl/gtex_v11_qtls/Uterus.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Brain_Putamen_basal_ganglia,BRNPTM,#3d85c6,182,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Putamen_basal_ganglia.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Vagina,VAGINA,#ff66cc,156,/Users/sho3/eqtl/gtex_v11_qtls/Vagina.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Brain_Nucleus_accumbens_basal_ganglia,BRNACC,#0b5394,54,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Nucleus_accumbens_basal_ganglia.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Brain_Anterior_cingulate_cortex_BA24,BRNCCC,#6aa84f,35,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Anterior_cingulate_cortex_BA24.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Brain_Amygdala,BRNAMY,#93c47d,7,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Amygdala.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Kidney_Cortex,KDNCTX,#00ffff,2,/Users/sho3/eqtl/gtex_v11_qtls/Kidney_Cortex.v11.eQTLs.signif_pairs.parquet,16372
RPSA,Bladder,BLDDER,#b4a7d6,0,/Users/sho3/eqtl/gtex_v11_qtls/Bladder.v11.eQTLs.signif_pairs.parquet,16372
DDX6,Adipose_Subcutaneous,ADPSBQ,#f1c232,528,/Users/sho3/eqtl/gtex_v11_qtls/Adipose_Subcutaneous.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Nerve_Tibial,NERVET,#ffe599,528,/Users/sho3/eqtl/gtex_v11_qtls/Nerve_Tibial.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Adipose_Visceral_Omentum,ADPVSC,#f6b26b,471,/Users/sho3/eqtl/gtex_v11_qtls/Adipose_Visceral_Omentum.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Whole_Blood,WHLBLD,#cc0000,470,/Users/sho3/eqtl/gtex_v11_qtls/Whole_Blood.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Esophagus_Muscularis,ESPMSL,#6aa84f,459,/Users/sho3/eqtl/gtex_v11_qtls/Esophagus_Muscularis.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Thyroid,THYROID,#ff9900,449,/Users/sho3/eqtl/gtex_v11_qtls/Thyroid.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Brain_Hypothalamus,BRNHPT,#45818e,426,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Hypothalamus.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Colon_Transverse,CLNTRN,#e69138,412,/Users/sho3/eqtl/gtex_v11_qtls/Colon_Transverse.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Skin_Sun_Exposed_Lower_leg,SKINS,#f1c232,369,/Users/sho3/eqtl/gtex_v11_qtls/Skin_Sun_Exposed_Lower_leg.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Artery_Tibial,ARTTBL,#f4cccc,364,/Users/sho3/eqtl/gtex_v11_qtls/Artery_Tibial.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Colon_Sigmoid,CLNSGM,#b45f06,346,/Users/sho3/eqtl/gtex_v11_qtls/Colon_Sigmoid.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Pituitary,PITUTRY,#999999,341,/Users/sho3/eqtl/gtex_v11_qtls/Pituitary.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Testis,TESTIS,#e06666,336,/Users/sho3/eqtl/gtex_v11_qtls/Testis.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Brain_Cortex,BRNCTXA,#a2c4c9,328,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Cortex.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Esophagus_Gastroesophageal_Junction,ESPGEJ,#d9ead3,325,/Users/sho3/eqtl/gtex_v11_qtls/Esophagus_Gastroesophageal_Junction.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Brain_Frontal_Cortex_BA9,BRNCTXB,#76a5af,310,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Frontal_Cortex_BA9.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Cells_Cultured_fibroblasts,FIBRBLS,#674ea7,309,/Users/sho3/eqtl/gtex_v11_qtls/Cells_Cultured_fibroblasts.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Prostate,PRSTTE,#cfe2f3,304,/Users/sho3/eqtl/gtex_v11_qtls/Prostate.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Stomach,STMACH,#b45f06,287,/Users/sho3/eqtl/gtex_v11_qtls/Stomach.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Heart_Left_Ventricle,HRTLV,#741b47,271,/Users/sho3/eqtl/gtex_v11_qtls/Heart_Left_Ventricle.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Esophagus_Mucosa,ESPMCS,#93c47d,269,/Users/sho3/eqtl/gtex_v11_qtls/Esophagus_Mucosa.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Heart_Atrial_Appendage,HRTAA,#a64d79,237,/Users/sho3/eqtl/gtex_v11_qtls/Heart_Atrial_Appendage.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Brain_Amygdala,BRNAMY,#93c47d,221,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Amygdala.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Muscle_Skeletal,MSCLSK,#b7b7b7,211,/Users/sho3/eqtl/gtex_v11_qtls/Muscle_Skeletal.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Spleen,SPLEEN,#cc4125,176,/Users/sho3/eqtl/gtex_v11_qtls/Spleen.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Lung,LUNG,#6fa8dc,172,/Users/sho3/eqtl/gtex_v11_qtls/Lung.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Brain_Cerebellum,BRNCHB,#274e13,171,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Cerebellum.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Pancreas,PNCREAS,#f9cb9c,170,/Users/sho3/eqtl/gtex_v11_qtls/Pancreas.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Skin_Not_Sun_Exposed_Suprapubic,SKINNS,#ffd966,164,/Users/sho3/eqtl/gtex_v11_qtls/Skin_Not_Sun_Exposed_Suprapubic.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Brain_Substantia_nigra,BRNSNG,#073763,131,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Substantia_nigra.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Brain_Caudate_basal_ganglia,BRNCDT,#38761d,126,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Caudate_basal_ganglia.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Brain_Spinal_cord_cervical_c-1,BRNSPC,#9fc5e8,119,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Spinal_cord_cervical_c-1.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Artery_Aorta,ARTAORT,#e06666,113,/Users/sho3/eqtl/gtex_v11_qtls/Artery_Aorta.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Liver,LIVER,#783f04,100,/Users/sho3/eqtl/gtex_v11_qtls/Liver.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Artery_Coronary,ARTCRN,#cc0000,92,/Users/sho3/eqtl/gtex_v11_qtls/Artery_Coronary.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Brain_Putamen_basal_ganglia,BRNPTM,#3d85c6,86,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Putamen_basal_ganglia.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Brain_Hippocampus,BRNHPP,#134f5c,59,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Hippocampus.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Breast_Mammary_Tissue,BREAST,#c27ba0,43,/Users/sho3/eqtl/gtex_v11_qtls/Breast_Mammary_Tissue.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Brain_Cerebellar_Hemisphere,BRNCHA,#b6d7a8,33,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Cerebellar_Hemisphere.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Cells_EBV-transformed_lymphocytes,LCL,#351c75,2,/Users/sho3/eqtl/gtex_v11_qtls/Cells_EBV-transformed_lymphocytes.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Brain_Nucleus_accumbens_basal_ganglia,BRNACC,#0b5394,1,/Users/sho3/eqtl/gtex_v11_qtls/Brain_Nucleus_accumbens_basal_ganglia.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Small_Intestine_Terminal_Ileum,SNTRM,#ffff00,1,/Users/sho3/eqtl/gtex_v11_qtls/Small_Intestine_Terminal_Ileum.v11.eQTLs.signif_pairs.parquet,10330
DDX6,Adrenal_Gland,ADREN,#8dd3c7,0,/Users/sho3/eqtl/gtex_v11_qtls/Adrenal_Gland.v11.eQTLs.signif_pairs.parquet,10330
