gene,gene_total_eqtls,ADPSBQ,ADPVSC,ADREN,ARTAORT,ARTCRN,ARTTBL,BLDDER,BREAST,BRNACC,BRNAMY,BRNCCC,BRNCDT,BRNCHA,BRNCHB,BRNCTXA,BRNCTXB,BRNHPP,BRNHPT,BRNPTM,BRNSNG,BRNSPC,CLNSGM,CLNTRN,ESPGEJ,ESPMCS,ESPMSL,FIBRBLS,HRTAA,HRTLV,KDNCTX,LCL,LIVER,LUNG,MSCLSK,NERVET,OVARY,PITUTRY,PNCREAS,PRSTTE,SKINNS,SKINS,SLVRYG,SNTRM,SPLEEN,STMACH,TESTIS,THYROID,UTERUS,VAGINA,WHLBLD
DHX36,17563,621,528,362,627,98,207,53,402,0,0,0,106,846,776,310,34,0,0,371,0,0,683,642,543,205,922,217,519,403,63,0,54,629,635,821,274,580,509,359,611,350,176,245,825,376,17,1251,0,99,214
RPSA,16372,515,518,352,454,262,501,0,398,54,7,35,225,295,398,274,199,222,205,182,185,360,276,449,367,523,390,598,355,279,2,403,323,527,580,555,202,369,421,189,484,590,252,190,283,404,472,460,185,156,447
DDX6,10330,528,471,0,113,92,364,0,43,1,221,0,126,33,171,328,310,59,426,86,131,119,346,412,325,269,459,309,237,271,0,2,100,172,211,528,0,341,170,304,164,369,0,1,176,287,336,449,0,0,470
DHX58,6493,299,264,28,164,109,462,0,211,0,59,0,35,65,65,0,34,2,80,0,0,35,197,221,138,276,277,372,207,99,0,219,0,235,184,295,91,109,134,103,206,227,100,65,111,98,138,126,40,83,230
DHX16,6132,288,269,17,270,95,84,0,214,0,0,0,103,31,73,12,0,24,40,31,0,7,10,121,76,339,274,256,230,12,0,18,16,245,50,482,193,111,294,98,281,375,0,0,263,72,57,590,13,0,98
DDX1,4889,267,222,38,348,159,333,0,201,34,0,0,35,167,15,27,3,25,28,25,0,0,6,41,0,49,0,413,182,208,0,210,44,186,0,232,38,217,267,0,135,154,41,0,34,125,56,179,39,0,106
NLRP1,4693,301,109,0,513,26,287,0,142,0,0,0,91,0,0,0,0,0,0,0,0,0,101,3,148,35,81,817,0,0,0,28,0,0,28,260,54,234,1,220,222,64,0,0,0,0,20,818,0,0,90
DDX60L,4081,469,154,6,0,0,90,0,169,23,0,0,55,0,0,0,0,0,0,27,0,0,92,88,56,142,100,523,65,46,0,70,124,268,80,166,0,14,37,0,99,144,48,0,15,2,55,194,0,0,660
RAD50,3771,93,68,0,183,257,92,0,42,11,12,16,18,34,111,18,31,17,14,13,14,15,74,131,108,180,159,28,92,71,0,8,0,382,46,263,0,92,24,78,349,75,0,15,125,118,75,216,0,1,2
IFI16,3240,105,91,194,123,21,153,1,123,77,69,0,81,3,0,82,73,0,0,0,0,0,131,95,95,69,144,109,104,100,0,0,15,78,77,84,0,0,0,121,252,265,0,1,0,79,100,125,0,0,0
XRCC5,2920,83,153,0,66,8,148,0,42,98,42,84,112,100,114,102,148,109,90,78,22,98,19,53,9,26,41,12,49,15,0,1,18,30,185,262,0,27,58,1,147,171,0,13,0,16,0,36,2,0,32
LRRFIP1,2562,10,46,82,284,9,254,0,0,0,9,0,0,23,17,62,13,0,0,48,0,0,0,0,0,5,0,393,31,96,0,104,0,61,0,4,109,114,113,0,7,74,0,0,42,0,90,158,0,0,304
DDX58,2485,0,0,5,0,0,20,0,4,6,7,7,0,205,146,19,20,8,48,6,10,112,12,174,0,197,12,51,17,8,0,52,8,6,154,20,0,6,141,0,262,313,0,65,24,122,32,7,0,0,179
XRCC6,2318,2,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,13,0,0,0,0,106,321,585,0,0,259,0,0,27,0,0,7,0,38,6,0,0,396
SLFN11,1782,81,24,0,72,0,125,0,21,20,0,2,1,65,56,0,10,33,6,0,0,0,78,17,0,44,38,115,42,19,0,16,0,17,83,79,10,55,91,0,21,29,80,0,2,33,19,228,25,0,125
EIF2AK2,1652,1,0,0,99,0,102,0,1,0,0,0,0,2,16,0,0,0,0,0,0,0,35,0,0,218,25,135,0,0,0,0,0,1,238,90,0,0,0,55,2,0,0,0,0,0,0,0,0,42,590
AIM2,1527,239,72,0,0,8,34,0,148,0,0,0,0,0,0,0,0,22,22,0,0,0,23,27,80,25,70,0,0,0,0,30,0,125,0,124,0,53,0,4,60,75,0,0,52,0,0,15,14,29,176
OAS1,1469,47,0,0,0,10,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,4,85,0,0,0,225,0,0,9,6,0,0,0,0,149,193,0,117,252,0,0,0,0,0,23
OAS3,1465,121,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,23,2,0,1,0,2,0,150,7,429,0,0,0,125,0,0,0,1,0,0,172,0,3,5,0,0,272,9,0,1,0,1,133
CGAS,1275,229,49,25,0,0,71,0,28,0,0,0,0,10,0,0,2,1,0,0,0,0,0,0,0,101,0,197,17,0,1,0,0,0,0,377,3,0,0,1,0,0,5,0,0,0,56,102,0,0,0
PYHIN1,1118,106,5,0,0,3,309,0,18,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,104,0,0,0,51,0,5,0,276,0,0,0,0,80,26,0,0,3,0,34,88,0,0,3
NOD2,1009,3,0,0,11,17,44,0,0,0,0,3,13,43,54,2,0,4,1,0,0,0,2,0,11,130,18,0,0,0,1,0,67,14,0,106,0,1,0,0,106,94,56,0,33,0,0,0,0,0,175
PRKDC,930,159,0,0,2,16,170,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,5,107,204,0,0,0,9,5,224,0,0,0,5,0,5,0,0,0
TLR9,917,0,0,0,2,2,25,0,0,0,21,0,0,200,181,0,0,0,0,0,0,0,110,0,0,0,154,13,0,0,0,1,0,15,0,25,0,0,0,0,31,38,0,0,1,0,23,75,0,0,0
TLR3,644,72,21,0,3,0,24,0,24,3,0,0,11,0,0,0,0,0,0,0,0,0,27,0,17,80,21,122,36,1,0,2,2,0,0,10,0,0,13,0,54,27,0,0,0,3,10,16,0,0,45
ZC3HAV1,613,0,0,0,8,0,15,0,0,0,0,2,3,0,0,0,0,0,0,4,0,11,0,0,0,0,0,175,0,4,0,42,0,0,0,151,0,0,0,0,0,0,0,0,0,0,1,0,0,0,197
